project_id,v_innov,v_impact,v_fin,s_reg,s_risk,s_skep,c,v_market
1,0.95,0.92,0.85,0.10,0.15,0.05,0.28,100000000
2,0.90,0.30,0.70,0.50,0.40,0.50,0.35,50000000
3,0.85,0.60,0.90,0.02,0.20,0.10,0.00,20000000
4,1.00,0.80,1.00,0.00,0.00,0.00,0.00,1500000000
5,1.00,0.95,0.90,0.00,0.10,0.00,0.00,25000000000
6,0.95,0.70,0.90,0.20,0.30,0.15,0.25,200000000
7,0.80,0.95,0.85,0.10,0.15,0.05,0.28,100000000
8,0.90,0.60,0.70,0.50,0.40,0.30,0.35,50000000
9,0.85,0.60,0.90,0.02,0.20,0.10,0.00,20000000
10,0.95,0.92,0.85,0.10,0.15,0.05,0.28,100000000
